"state","placefp","county","pop10","afact"
"FIPS state","placefp","county","Total Pop, 2010 census","placefp to county alloc factor"
"01","00100","01017",192,1 
"01","00124","01067",2688,1 
"01","00460","01073",4522,1 
"01","00484","01133",758,1 
"01","00676","01065",356,1 
"01","00820","01117",30352,1 
"01","00988","01095",21160,1 
"01","01132","01123",14875,1 
"01","01180","01015",3917,1 
"01","01228","01107",2486,1 
"01","01396","01009",622,1 
"01","01660","01009",30,0.032 
"01","01660","01055",903,0.968 
"01","01708","01039",9015,1 
"01","01756","01077",282,1 
"01","01852","01015",23106,1 
"01","02116","01043",27,0.003 
"01","02116","01095",8023,0.997 
"01","02260","01083",1194,1 
"01","02320","01073",61,0.015 
"01","02320","01115",4010,0.985 
"01","02428","01045",764,1 
"01","02500","01133",357,1 
"01","02836","01069",2148,1 
"01","02860","01027",2037,1 
"01","02908","01115",2212,1 
"01","02956","01083",21897,1 
"01","03004","01053",10194,1 
"01","03028","01055",6048,1 
"01","03076","01081",53380,1 
"01","03220","01001",870,1 
"01","03364","01069",543,1 
"01","03508","01097",757,1 
"01","03556","01039",603,1 
"01","03676","01043",610,1 
"01","03724","01005",279,1 
"01","03820","01055",1580,1 
"01","03940","01109",179,1 
"01","04660","01003",8044,1 
"01","04684","01097",2558,1 
"01","04852","01093",1070,1 
"01","04900","01099",301,1 
"01","04948","01075",201,1 
"01","05140","01059",129,1 
"01","05164","01057",215,1 
"01","05188","01119",543,1 
"01","05212","01097",608,1 
"01","05692","01085",49,1 
"01","05932","01057",1148,1 
"01","05980","01073",27456,1 
"01","06460","01001",144,1 
"01","07000","01073",210609,0.992 
"01","07000","01117",1628,0.008 
"01","07120","01061",207,1 
"01","07456","01009",1684,1 
"01","07588","01051",1341,1 
"01","07672","01005",96,1 
"01","07912","01055",1109,0.116 
"01","07912","01095",8442,0.884 
"01","08104","01063",328,1 
"01","08248","01121",116,1 
"01","08680","01131",275,1 
"01","09016","01041",809,1 
"01","09064","01117",884,1 
"01","09136","01007",4947,1 
"01","09208","01053",5408,1 
"01","09328","01071",2418,1 
"01","09400","01073",2945,1 
"01","09424","01093",900,1 
"01","09457","01055",683,1 
"01","09500","01117",6746,1 
"01","09736","01073",1363,1 
"01","09808","01125",1828,1 
"01","09880","01019",182,1 
"01","10240","01109",2076,1 
"01","10456","01097",32,1 
"01","11032","01023",1894,1 
"01","11416","01021",96,0.008 
"01","11416","01117",11524,0.992 
"01","11488","01097",109,0.394 
"01","11488","01129",168,0.606 
"01","11512","01131",2020,1 
"01","11680","01123",1014,1 
"01","12016","01127",2021,1 
"01","12040","01073",55,1 
"01","12070","01055",2137,1 
"01","12112","01025",65,1 
"01","12160","01039",297,1 
"01","12304","01107",1019,1 
"01","12496","01035",583,1 
"01","12544","01131",22,1 
"01","12760","01019",1820,1 
"01","13264","01073",16921,1 
"01","13648","01019",3489,1 
"01","13672","01007",2778,1 
"01","14008","01129",1288,1 
"01","14104","01117",10183,1 
"01","14152","01033",1048,1 
"01","14392","01097",6106,1 
"01","14464","01121",5175,1 
"01","14728","01015",2804,1 
"01","14968","01097",210,1 
"01","15064","01097",3905,1 
"01","15136","01021",8619,1 
"01","15256","01073",9708,1 
"01","15304","01045",589,1 
"01","15376","01005",3008,1 
"01","15472","01009",1303,1 
"01","15640","01005",1399,1 
"01","16000","01125",1657,1 
"01","16080","01055",1394,1 
"01","16240","01061",228,1 
"01","16264","01025",352,1 
"01","16312","01125",979,1 
"01","16600","01019",21,0.011 
"01","16600","01049",1962,0.989 
"01","16684","01043",268,1 
"01","16744","01069",740,1 
"01","16768","01117",4197,1 
"01","16936","01073",1837,1 
"01","17176","01051",1224,1 
"01","17368","01127",2095,1 
"01","17824","01069",1289,1 
"01","17968","01009",197,0.764 
"01","17968","01073",61,0.236 
"01","18040","01079",609,1 
"01","18088","01069",1871,1 
"01","18304","01097",1926,1 
"01","18856","01049",1862,1 
"01","18952","01119",346,1 
"01","18976","01043",14775,1 
"01","19024","01023",153,0.895 
"01","19024","01129",18,0.105 
"01","19216","01017",123,1 
"01","19336","01123",3230,1 
"01","19360","01045",5295,1 
"01","19648","01003",21570,1 
"01","19744","01097",1238,1 
"01","19816","01123",214,1 
"01","19912","01091",52,1 
"01","20008","01051",1154,1 
"01","20104","01083",84,0.002 
"01","20104","01103",55599,0.998 
"01","20152","01129",188,1 
"01","20272","01027",197,1 
"01","20296","01091",7483,1 
"01","20392","01075",237,1 
"01","20955","01043",593,1 
"01","21136","01127",2025,1 
"01","21184","01045",887,0.014 
"01","21184","01067",5,0 
"01","21184","01069",64604,0.986 
"01","21280","01133",1083,1 
"01","21328","01095",744,1 
"01","21448","01041",329,1 
"01","21890","01117",981,1 
"01","21952","01071",315,1 
"01","22216","01053",2478,1 
"01","22504","01043",201,1 
"01","22816","01051",1001,1 
"01","23032","01073",883,1 
"01","23176","01029",202,1 
"01","23224","01055",932,1 
"01","23296","01031",3940,1 
"01","23320","01003",1498,1 
"01","23344","01127",130,1 
"01","23488","01083",434,1 
"01","23656","01051",1262,1 
"01","23872","01119",53,1 
"01","23880","01051",2561,1 
"01","24184","01031",26139,0.984 
"01","24184","01045",423,0.016 
"01","24256","01119",192,1 
"01","24472","01107",81,1 
"01","24568","01005",13137,1 
"01","24616","01061",243,1 
"01","24664","01063",2934,1 
"01","24688","01103",519,1 
"01","24808","01035",3944,1 
"01","24880","01099",723,1 
"01","25120","01073",11117,1 
"01","25216","01129",186,1 
"01","25240","01003",15326,1 
"01","25384","01043",446,1 
"01","25648","01103",1279,1 
"01","25816","01091",98,1 
"01","25840","01057",4619,1 
"01","25864","01121",1284,1 
"01","26152","01011",83,1 
"01","26200","01017",141,1 
"01","26824","01053",1440,1 
"01","26848","01039",1980,1 
"01","26896","01077",39319,1 
"01","26992","01003",14618,1 
"01","27088","01073",10162,1 
"01","27376","01063",649,1 
"01","27520","01085",1344,1 
"01","27616","01049",14012,1 
"01","27640","01045",4636,1 
"01","28024","01087",149,1 
"01","28120","01017",199,1 
"01","28312","01099",1309,1 
"01","28408","01129",185,1 
"01","28432","01029",284,1 
"01","28504","01025",272,1 
"01","28552","01073",8380,1 
"01","28672","01049",1018,1 
"01","28696","01055",36856,1 
"01","28768","01119",208,1 
"01","28816","01055",855,1 
"01","28936","01039",222,1 
"01","29032","01043",492,1 
"01","29056","01073",13893,1 
