metro_code,metro_title,place_title,county,state,state_fips,county_fips
10100,"Aberdeen, SD",,Brown County,South Dakota,46,013
10100,"Aberdeen, SD",,Edmunds County,South Dakota,46,045
10140,"Aberdeen, WA",,Grays Harbor County,Washington,53,027
10180,"Abilene, TX",,Callahan County,Texas,48,059
10180,"Abilene, TX",,Jones County,Texas,48,253
10180,"Abilene, TX",,Taylor County,Texas,48,441
10220,"Ada, OK",,Pontotoc County,Oklahoma,40,123
10260,"Adjuntas, PR","Ponce-Coamo-Santa Isabel, PR",Adjuntas Municipio,Puerto Rico,72,001
10300,"Adrian, MI","Detroit-Warren-Ann Arbor, MI",Lenawee County,Michigan,26,091
10380,"Aguadilla-Isabela, PR",,Aguada Municipio,Puerto Rico,72,003
10380,"Aguadilla-Isabela, PR",,Aguadilla Municipio,Puerto Rico,72,005
10380,"Aguadilla-Isabela, PR",,Añasco Municipio,Puerto Rico,72,011
10380,"Aguadilla-Isabela, PR",,Isabela Municipio,Puerto Rico,72,071
10380,"Aguadilla-Isabela, PR",,Lares Municipio,Puerto Rico,72,081
10380,"Aguadilla-Isabela, PR",,Moca Municipio,Puerto Rico,72,099
10380,"Aguadilla-Isabela, PR",,Rincón Municipio,Puerto Rico,72,117
10380,"Aguadilla-Isabela, PR",,San Sebastián Municipio,Puerto Rico,72,131
10380,"Aguadilla-Isabela, PR",,Utuado Municipio,Puerto Rico,72,141
10420,"Akron, OH","Cleveland-Akron-Canton, OH",Portage County,Ohio,39,133
10420,"Akron, OH","Cleveland-Akron-Canton, OH",Summit County,Ohio,39,153
10460,"Alamogordo, NM",,Otero County,New Mexico,35,035
10500,"Albany, GA",,Baker County,Georgia,13,007
10500,"Albany, GA",,Dougherty County,Georgia,13,095
10500,"Albany, GA",,Lee County,Georgia,13,177
10500,"Albany, GA",,Terrell County,Georgia,13,273
10500,"Albany, GA",,Worth County,Georgia,13,321
10540,"Albany, OR","Portland-Vancouver-Salem, OR-WA",Linn County,Oregon,41,043
10580,"Albany-Schenectady-Troy, NY","Albany-Schenectady, NY",Albany County,New York,36,001
10580,"Albany-Schenectady-Troy, NY","Albany-Schenectady, NY",Rensselaer County,New York,36,083
10580,"Albany-Schenectady-Troy, NY","Albany-Schenectady, NY",Saratoga County,New York,36,091
10580,"Albany-Schenectady-Troy, NY","Albany-Schenectady, NY",Schenectady County,New York,36,093
10580,"Albany-Schenectady-Troy, NY","Albany-Schenectady, NY",Schoharie County,New York,36,095
10620,"Albemarle, NC","Charlotte-Concord, NC-SC",Stanly County,North Carolina,37,167
10660,"Albert Lea, MN",,Freeborn County,Minnesota,27,047
10700,"Albertville, AL","Huntsville-Decatur-Albertville, AL",Marshall County,Alabama,01,095
10740,"Albuquerque, NM","Albuquerque-Santa Fe-Las Vegas, NM",Bernalillo County,New Mexico,35,001
10740,"Albuquerque, NM","Albuquerque-Santa Fe-Las Vegas, NM",Sandoval County,New Mexico,35,043
10740,"Albuquerque, NM","Albuquerque-Santa Fe-Las Vegas, NM",Torrance County,New Mexico,35,057
10740,"Albuquerque, NM","Albuquerque-Santa Fe-Las Vegas, NM",Valencia County,New Mexico,35,061
10780,"Alexandria, LA",,Grant Parish,Louisiana,22,043
10780,"Alexandria, LA",,Rapides Parish,Louisiana,22,079
10820,"Alexandria, MN",,Douglas County,Minnesota,27,041
10860,"Alice, TX","Corpus Christi-Kingsville-Alice, TX",Jim Wells County,Texas,48,249
