state,placefp,county,stab,cntyname,placenm,pop10,afact
FIPS state,placefp,county,State Postal Code,cntyname,Place Name,"Total Pop, 2010 census",placefp to county alloc factor
01,00100,017,AL,Chambers AL,"Abanda CDP, AL",192,1
01,00124,067,AL,Henry AL,"Abbeville city, AL",2688,1
01,00460,073,AL,Jefferson AL,"Adamsville city, AL",4522,1
01,00484,133,AL,Winston AL,"Addison town, AL",758,1
01,00676,065,AL,Hale AL,"Akron town, AL",356,1
01,00820,117,AL,Shelby AL,"Alabaster city, AL",30352,1
01,00988,095,AL,Marshall AL,"Albertville city, AL",21160,1
01,01132,123,AL,Tallapoosa AL,"Alexander City city, AL",14875,1
01,01180,015,AL,Calhoun AL,"Alexandria CDP, AL",3917,1
01,01228,107,AL,Pickens AL,"Aliceville city, AL",2486,1
01,01396,009,AL,Blount AL,"Allgood town, AL",622,1
01,01660,009,AL,Blount AL,"Altoona town, AL",30,0.032
01,01660,055,AL,Etowah AL,"Altoona town, AL",903,0.968
01,01708,039,AL,Covington AL,"Andalusia city, AL",9015,1
01,01756,077,AL,Lauderdale AL,"Anderson town, AL",282,1
01,01852,015,AL,Calhoun AL,"Anniston city, AL",23106,1
01,02116,043,AL,Cullman AL,"Arab city, AL",27,0.003
01,02116,095,AL,Marshall AL,"Arab city, AL",8023,0.997
01,02260,083,AL,Limestone AL,"Ardmore town, AL",1194,1
01,02320,073,AL,Jefferson AL,"Argo town, AL",61,0.015
01,02320,115,AL,St. Clair AL,"Argo town, AL",4010,0.985
01,02428,045,AL,Dale AL,"Ariton town, AL",764,1
01,02500,133,AL,Winston AL,"Arley town, AL",357,1
01,02836,069,AL,Houston AL,"Ashford town, AL",2148,1
01,02860,027,AL,Clay AL,"Ashland town, AL",2037,1
01,02908,115,AL,St. Clair AL,"Ashville city, AL",2212,1
01,02956,083,AL,Limestone AL,"Athens city, AL",21897,1
01,03004,053,AL,Escambia AL,"Atmore city, AL",10194,1
01,03028,055,AL,Etowah AL,"Attalla city, AL",6048,1
01,03076,081,AL,Lee AL,"Auburn city, AL",53380,1
01,03220,001,AL,Autauga AL,"Autaugaville town, AL",870,1
01,03364,069,AL,Houston AL,"Avon town, AL",543,1
01,03508,097,AL,Mobile AL,"Axis CDP, AL",757,1
01,03556,039,AL,Covington AL,"Babbie town, AL",603,1
01,03676,043,AL,Cullman AL,"Baileyton town, AL",610,1
01,03724,005,AL,Barbour AL,"Bakerhill town, AL",279,1
01,03820,055,AL,Etowah AL,"Ballplay CDP, AL",1580,1
01,03940,109,AL,Pike AL,"Banks town, AL",179,1
01,04660,003,AL,Baldwin AL,"Bay Minette city, AL",8044,1
01,04684,097,AL,Mobile AL,"Bayou La Batre city, AL",2558,1
01,04852,093,AL,Marion AL,"Bear Creek town, AL",1070,1
01,04900,099,AL,Monroe AL,"Beatrice town, AL",301,1
01,04948,075,AL,Lamar AL,"Beaverton town, AL",201,1
01,05140,059,AL,Franklin AL,"Belgreen CDP, AL",129,1
01,05164,057,AL,Fayette AL,"Belk town, AL",215,1
01,05188,119,AL,Sumter AL,"Bellamy CDP, AL",543,1
01,05212,097,AL,Mobile AL,"Belle Fontaine CDP, AL",608,1
01,05692,085,AL,Lowndes AL,"Benton town, AL",49,1
01,05932,057,AL,Fayette AL,"Berry town, AL",1148,1
01,05980,073,AL,Jefferson AL,"Bessemer city, AL",27456,1
01,06460,001,AL,Autauga AL,"Billingsley town, AL",144,1
01,07000,073,AL,Jefferson AL,"Birmingham city, AL",210609,0.992
01,07000,117,AL,Shelby AL,"Birmingham city, AL",1628,0.008
01,07120,061,AL,Geneva AL,"Black town, AL",207,1
01,07456,009,AL,Blount AL,"Blountsville town, AL",1684,1
01,07588,051,AL,Elmore AL,"Blue Ridge CDP, AL",1341,1
01,07672,005,AL,Barbour AL,"Blue Springs town, AL",96,1
01,07912,055,AL,Etowah AL,"Boaz city, AL",1109,0.116
01,07912,095,AL,Marshall AL,"Boaz city, AL",8442,0.884
01,08104,063,AL,Greene AL,"Boligee town, AL",328,1
01,08248,121,AL,Talladega AL,"Bon Air town, AL",116,1
